name	addr:district	amenity	health_facility:level	@lat	@lon
Mbale Regional Referral Hospital		hospital		1.0764209	34.1767819
St Martins Medical Centre		hospital		1.0756393	34.1772103
Cure Children's Hospital of Uganda		hospital		1.0740559	34.1717568
Uganda Red Cross		hospital		1.0724469	34.1746525
Peace Medical Centre		hospital		0.9815378	34.2016546
Kololo Hospital Kampala Ltd.		hospital		0.3338290	32.5891586
St. Charles Lwanga Buikwe Hospital		hospital		0.3392858	33.0320706
Victoria Clinic		hospital		0.4272364	33.2087981
Wi Anaka health centre		hospital		2.5786335	31.7759892
		hospital		2.2473075	32.9003043
		hospital		3.0104432	30.9605342
		hospital		2.2358737	32.8990967
		hospital		1.7158382	33.6158723
		hospital		1.0909789	34.1769432
		hospital		1.3574886	34.0328596
Kabale Referral Hospital		hospital		-1.2502061	29.9891117
Kabale Regional Hospital		hospital		-1.2510457	29.9889878
Kathile Health Center 3		hospital		3.6457778	34.0785861
Lochom Health Center 2		hospital		3.4187552	34.1457784
Kanyenya Hospital		hospital		0.9438588	34.1261633
Kinoni Health Center		hospital		-0.6589830	30.4589001
Bukinda Health Center		hospital		-1.0170576	30.1883053
St Francis Nagala Hospital		hospital		0.6125830	32.8216220
Kumi Health Centre Grade III		hospital		1.4879504	33.9361388
Kamuli District Hospital		hospital		0.9473191	33.1211263
Hope and Faith		hospital		0.2980144	32.5338792
Dental Clinic		hospital		1.0763572	34.1766088
Rugazi Health Center IV		hospital		-0.2619384	30.1032131
Hoima Regional Referral Hospital		hospital		1.4285764	31.3548798
Medical Clinic		hospital		0.4335756	33.2122075
Nakaseke Hospital		hospital		0.7203429	32.3984813
		hospital		0.0484962	32.4643802
Ishaka Adventist Hospital		hospital		-0.5440146	30.1380671
Mutolere Hospital	Kisoro	hospital		-1.2623867	29.7213486
Nyondo St Teresa Health Centre 3		hospital		0.9873539	34.2240104
Makhonje Health Centre III		hospital		0.9176754	34.1290471
Lwankoli Health Centre II		hospital		0.9667349	34.1451882
Bufumbo Health Center		hospital		1.1119808	34.2392123
		hospital		1.1245777	34.1950212
Bunambali Health Centre		hospital		0.9575514	34.3709143
Bulucheke Health Centre 3		hospital		1.0288589	34.3718513
Bushika Health Centre		hospital		1.0544456	34.3545914
Our lady		hospital		1.2257833	34.3118477
Butiru Chrisco Health Centre III		hospital		0.8196119	34.2953642
Bugobero Health Centre IV		hospital		0.8650009	34.2523743
Sumaya Health Centre		hospital		1.3903983	34.4189262
Holy Innocents Health Centre		hospital		1.3575306	34.1760817
Kolir Health Centre		hospital		1.3181519	34.1642595
Kidongole Health Centre 111		hospital		1.2739658	34.0040588
		hospital		1.3296882	34.0422422
Nansanga Hospital		hospital		0.9845791	33.8952616
Nawaikoke Health Centre III		hospital		1.0896147	33.4037116
		hospital		0.9959525	33.4930691
Dr. Ambrosoli Health Care Centre III		hospital		0.8927484	33.5067668
Nabikooli Health Centre II		hospital		0.9279146	33.4340337
Apopong Health Centre		hospital		1.2181325	33.6487844
Holy Innocents Children's Hospital (wrong)		hospital		-0.6231885	30.6474658
Geel Hospital		hospital		0.6922057	34.1779271
Mifumi Health Centre		hospital		0.7427701	33.9629065
Mulanda Health Centre IV		hospital		0.6925428	34.0154048
Poyameri health centre Three		hospital		0.6200550	34.0820382
Village Of Eden Medical Centre		hospital		0.5519256	33.9278044
Nambwike Health Center		hospital		0.3312601	33.9087234
Dabani Hospital		hospital		0.4332550	34.0486588
Sikuda Health Centre 11		hospital		0.4996147	34.0598098
Kisiizi Hospital		hospital		-0.9979585	29.9439616
Ministry Of Health Makuutu Health Centre 3		hospital		0.5025745	33.5921266
Buwaiswa Health Center III		hospital		0.5196306	33.5188622
Lameka Community Health Services		hospital		0.4534744	33.4822726
Waibuga Health Centre II		hospital		0.6335914	33.3847423
Bukonko Primary School		hospital		0.6439670	33.4656510
AmuriaHC4		hospital		2.0320788	33.6411609
Victoria University Health Care Center		hospital		0.3373484	32.5807360
Georgina Eye Hospital		hospital		0.3366461	32.5795734
St Joseph's Hospital		hospital		3.3023034	32.8924546
Kira Health centre lll		hospital		0.4003802	32.6392202
		hospital		0.4383547	33.1961177
Kaberamaido Health Center IV		hospital		1.7654224	33.1522665
Bugoye Heath Centre III		hospital		0.3018778	30.0987532
Kalangala Health Centre IV		hospital		-0.3211864	32.2917285
Holy Innocents Health Center		hospital		1.3785180	34.2174429
Engari HC III		hospital		-0.0507649	30.6385151
Zumbo HC III		hospital		2.5095646	30.9119022
Ocodri HC III		hospital		3.0764065	31.0664195
		hospital		-0.5670384	30.2648301
shira hospitals		hospital		2.7971088	30.8919392
Wellington Diabetes and Heart Clinic		hospital		0.3175084	32.5767662
Kitovu General hospital		hospital		-0.3438561	31.7588200
Malcom Health Center		hospital		0.3673421	32.6374142
TMR International Hospital		hospital		0.3677122	32.6371568
Zia Angelina		hospital		0.3878176	32.6542050
Life Link Hospital		hospital		0.3787829	32.6451372
JB Medical		hospital		0.4073812	32.6416683
Mulago National Referral Hospital		hospital		0.3389522	32.5768538
Butabika Hospital		hospital		0.3158703	32.6579040
St. Anthony's Hospital		hospital		0.6829931	34.1799132
International Hospital Kampala		hospital		0.3051484	32.6106013
Lira Regional Referral Hospital		hospital		2.2518200	32.9020298
Mbale Regional Referral Hospital		hospital		1.0775431	34.1765563
Arua Regional Referral Hospital		hospital		3.0199724	30.9138891
St. Mary's Hospital Lacor		hospital		2.7676998	32.2527600
Entebbe General Hospital		hospital		0.0640418	32.4710810
Buhinga Fort Portal Regional Referal Huspital		hospital		0.6550923	30.2812857
Entebbe Hospital		hospital		0.0590592	32.4710196
Holy Family Virika Hospital		hospital		0.6379499	30.2684644
Mbarara Regional Referral Hospital		hospital		-0.6167699	30.6584069
Mulago National Referal Hospital		hospital		0.3389522	32.5768538
Soroti Regional Referal Hospital		hospital		1.7176546	33.6133464
Kadic Hospital		hospital		0.3495216	32.6042027
Tororo Hospital		hospital		0.6944358	34.1871687
Adjumani Hospital		hospital		3.3740875	31.7929480
Mengo Hospital		hospital		0.3119587	32.5580626
St. Mary's Hospital Lacor		hospital		2.7676998	32.2527600
KIU Teaching Hospital		hospital		-0.5400223	30.1465121
Bishop Caesar Asili Hospital		hospital		0.8250873	32.5011226
Kabarole Hospital		hospital		0.6488761	30.2717473
Kawolo Hospital		hospital		0.3681475	32.9452548
Mityana Hospital		hospital		0.3974846	32.0423887
Kiryandongo Hospital		hospital		1.8791900	32.0618093
Atutur General Hospital		hospital		1.4095740	33.9908589
Kitgum Hospital		hospital		3.2945753	32.8816635
Kumi Hospital		hospital		1.5275543	33.9762470
Makerere University Hospital		hospital		0.3277107	32.5708615
Kamuli Mission Hospital		hospital		0.9360386	33.1305866
Villa Maria Hospital		hospital		-0.2270646	31.7352040
Kiboga Hospital		hospital		0.9112265	31.7764903
Ruth Gaylord Hospital Maganjo		hospital		0.3879817	32.5513654
Islamic University In Uganda Health Centre		hospital		1.1009785	34.1731439
Saidina Abubakar Islamic Hospital		hospital		0.4355604	32.5350832
Mt Elgon Hospital		hospital		1.0684414	34.1833731
Mbarara Regional Referral Hospital		hospital		-0.6167699	30.6584069
Kisoro Referal Hospital	Kisoro	hospital		-1.2842307	29.6828788
Kampala Medical Chambers Hospital		hospital		0.3249455	32.5752362
Case Hospital		hospital		0.3246920	32.5752403
Norvik Hospital		hospital		0.3232560	32.5744959
Nyakibale Hospital		hospital		-0.8047335	29.9317161
Paragon Hospital		hospital		0.3083726	32.6270590
International Hospital Kampala		hospital		0.3051484	32.6106013
Bududa Hospital		hospital		1.0090804	34.3328108
Jinja Hospital		hospital		0.4306336	33.2049105
Bethlehem Medical Centre		hospital		0.2983412	32.6221460
CORSU Rehabilitation Hospital		hospital		0.1326038	32.5358105
Kagando Hospital		hospital		0.0634948	29.8978482
Masindi District Hospital		hospital		1.6842107	31.7154878
Kilembe Hospital		hospital		0.1947882	30.0147480
Yumbe Hospital	Yumbe	hospital		3.4399977	31.1872988
St Andrews H/C III		hospital		-0.9984180	29.9871605
Omugo Health Center IV	Arua	hospital		3.2769954	31.1155523
St Francis Hospital & Nursing school Nsambya		hospital		0.2996663	32.5864522
Anaka Hospital	Nwoya	hospital		2.5997690	31.9467607
China-Uganda Friendship Hospital		hospital		0.3294358	32.6060832
Moroto Regional Referral Hospital		hospital		2.5311408	34.6560689
Whisper's Magical Children's Hospital and Maternity		hospital		0.4368031	33.2087579
Nile International Hospital		hospital		0.4399670	33.2184367
Mukesh Madhvani Children's Hospital		hospital		0.4380322	33.2020438
Mpigi Hospital		hospital		0.2254232	32.3218086
Kyanja Medical Centre		hospital		0.3980185	32.5977677
Galilee Community Hospital		hospital		0.3316732	32.5358414
Kiruddu General Referral Hospital		hospital		0.2480910	32.6125945
Lubaga Hospital Maternity		hospital		0.3047679	32.5531470
St. Luke's Hospital		hospital		2.4087088	31.1939151
Itojo Hospital		hospital		-0.7877116	30.2773781
Kuluva Hospital		hospital		2.9463677	30.9328159
Villa Maria hospital		hospital		-0.2315996	31.7440534
Uganda Martyrs Hospital Ibanda		hospital		-0.1301105	30.4481182
Bundibugyo Hospital		hospital		0.7029469	30.0638041
Kalisiszo Hospital		hospital		-0.5356552	31.6228355
Nebbi Hospital		hospital		2.4768732	31.0857538
Iganga Hospital		hospital		0.6155022	33.4853947
Iran-Uganda Hospital		hospital		0.3335751	32.6127071
UMC Victoria Hospital		hospital		0.3502758	32.6032024
Kiwoko Hospital		hospital		0.8396564	32.3603492
Kitebi Health Centre III		hospital		0.2813790	32.5455248
Luwero Health Center IV		hospital		0.8345480	32.4991505
Bwera Hospital		hospital		0.0334898	29.7668861
Kapchorwa Hospital		hospital		1.4036000	34.4422053
Nakasero Hospital		hospital		0.3268891	32.5794746
Salem Hospital		hospital		1.1382772	34.1487430
Naggalama General		hospital		0.5258641	32.7793731
Kawempe National Referal Hospital		hospital		0.3619812	32.5617955
Oriajini Hospital	Arua	hospital		3.0993814	30.9679144
Moyo Hospital		hospital		3.6580568	31.7277545
St. Magdalene Health Centre II - Lweza		hospital		0.2187418	32.5466935
Iran-Uganda Hospital		hospital		0.3335751	32.6127071
Kalisizo Hospital		hospital		-0.5356552	31.6228355
Mayuge Medical Clinic		hospital		0.1796771	33.5620728
Palabek Kal Health Center 3		hospital		3.4340503	32.5821114
St. Stephen's Hospital		hospital		0.3990243	32.5751125
ADJUMANI HOSPITAL		hospital		3.3769426	31.7907024
Kayunga Hospital		hospital		0.7036437	32.9036681
Mildmay Uganda		hospital		0.2265755	32.5507003
Karusandara Health Centre		hospital		0.2123931	30.1897672
Kabale Referral Hospital		hospital		-1.2502061	29.9891117
Rushere Community General		hospital		-0.2103331	30.9479367
Kitagata Referral Hospital		hospital		-0.6769913	30.1519461
Rakai General		hospital		-0.7134964	31.4030344
Kisiizi General		hospital		-0.9979076	30.0561909
Comboni General		hospital		-0.4429118	30.1196697
Ishaka Adventist Hospital		hospital		-0.5439863	30.1381974
Nyakibale General		hospital		-0.8047335	29.9317161
Mbarara Regional Referral		hospital		-0.6177220	30.6578930
Itojo General		hospital		-0.7876450	30.2781415
Holy Innocents Children's Hospital		hospital		-0.6232312	30.6467288
Ruharo Mission Hospital		hospital		-0.6127837	30.6313603
Mayanja Memorial Hospital		hospital		-0.5900934	30.6716078
Kitagata Referral Hospital		hospital		-0.6765883	30.1519688
Mbarara Regional Referral Hospital		hospital		-0.6119363	30.6599957
Mbarara Hospital		hospital		-0.6177220	30.6578930
Mulago-Mbarara Joint Hospital		hospital		-0.6115668	30.6599340
Divine Mercy General		hospital		-0.5892951	30.6734576
Mbarara Community General		hospital		-0.5892951	30.6734576
KIU Teaching hospital		hospital		-0.5400300	30.1465360
Hoima Regional Referral Hospital		hospital		1.4285764	31.3548798
Kagadi General		hospital		0.9426621	30.8090036
Kagadi Hospital		hospital		0.9420293	30.8095689
Fort Portal Regional Referral		hospital		0.6559732	30.2812868
Virika General		hospital		0.6379499	30.2684644
Bwera General		hospital		0.0475280	29.7765540
Kagando Hospital		hospital		0.0641239	29.8990480
Kilembe General		hospital		0.1947882	30.0147480
Bundibugyo General		hospital		0.7029469	30.0638041
Buhinga Fortportal		hospital		0.6559732	30.2812868
St Paul		hospital		0.1759053	30.0786413
