facility_name,district,level,latitude,longitude
998 Kagoma County Buwenge Town Council,Jinja,Hospital,,
2102 Luuka County Luuka Town Council,Luuka,Hospital,,
3130 Pallisa County Pallisa Town Council,Pallisa,Hospital,,
Abim General,Abim,Hospital,,
Adea Health Centre II,Abim,HC II,,
Alerek Health Centre III,Abim,HC II,,
Amita Health Centre II,Abim,HC II,,
Atunga Health Centre II,Abim,HC II,,
Awach Health Centre II,Abim,HC II,,
Gangming Health Centre II,Abim,HC II,,
Kanu Health Centre II,Abim,HC II,,
Katabok (Abim) Health Centre II,Abim,HC II,,
Kiru Health Centre II,Abim,HC II,,
Koya Health Centre II,Abim,HC II,,
Morulem Health Centre III,Abim,HC II,,
Nyakwae Health Centre III,Abim,HC II,,
Obolokome Health Centre II,Abim,HC II,,
Opopongo Health Centre II,Abim,HC II,,
Oreta Health Centre II,Abim,HC II,,
Orwamuge Health Centre III,Abim,HC II,,
Oscar Military Battalion Health Centre II,Abim,HC II,,
Pupu Kamuya Health Centre II,Abim,HC II,,
Wilela Health Centre II,Abim,HC II,,
1 East Moyo HSD Adjumani General,Adjumani,Hospital,,
2 East Moyo HSD Adjumani Alere Health Centre II,Adjumani,HC II,,
3 East Moyo HSD Adjumani Mission Health Centre III,Adjumani,HC II,,
4 East Moyo HSD Adjumani Police Health Centre II,Adjumani,HC II,,
5 East Moyo HSD Adjumani Prisons Health Centre II,Adjumani,HC II,,
6 East Moyo HSD Agojo Health Centre II,Adjumani,HC II,,
7 East Moyo HSD Ajeri Health Centre II,Adjumani,HC II,,
8 East Moyo HSD Ajugopi Health Centre II,Adjumani,HC II,,
9 East Moyo HSD Aliwara Health Centre II,Adjumani,HC II,,
10 East Moyo HSD Anzoa Medical Bureau Health Centre III,Adjumani,HC II,,
11 East Moyo HSD Arinyapi Health Centre II,Adjumani,HC II,,
12 East Moyo HSD Arra (Adjumani) Health Centre II,Adjumani,HC II,,
13 East Moyo HSD Ayilo Health Centre II,Adjumani,HC II,,
14 East Moyo HSD Ayilo Reugee Settlement Health Centre III,Adjumani,HC II,,
15 East Moyo HSD Ayiri Refugee Settlement Health Centre III,Adjumani,HC II,,
16 East Moyo HSD Bira Health Centre III,Adjumani,HC II,,
17 East Moyo HSD Ciforo Health Centre III,Adjumani,HC II,,
18 East Moyo HSD Dzaipi Health Centre III,Adjumani,HC II,,
19 East Moyo HSD Elegu Health Centre II,Adjumani,HC II,,
20 East Moyo HSD Elema Health Centre II,Adjumani,HC II,,
21 East Moyo HSD Kureku Health Centre II,Adjumani,HC II,,
22 East Moyo HSD Lewa Health Centre II,Adjumani,HC II,,
23 East Moyo HSD Maaji A Health Centre II,Adjumani,HC II,,
24 East Moyo HSD Maaji B Health Centre II,Adjumani,HC II,,
25 East Moyo HSD Magburu Health Centre II,Adjumani,HC II,,
26 East Moyo HSD Maryland Kocoa Health Centre III,Adjumani,HC II,,
27 East Moyo HSD Mungula Health Centre IV,Adjumani,HC IV,,
28 East Moyo HSD Nyumanzi Health Centre II,Adjumani,HC II,,
29 East Moyo HSD Obilokongo Health Centre II,Adjumani,HC II,,
30 East Moyo HSD Ofua Health Centre III,Adjumani,HC II,,
31 East Moyo HSD Ogolo Health Centre II,Adjumani,HC II,,
32 East Moyo HSD Olia Health Centre II,Adjumani,HC II,,
33 East Moyo HSD Opejo Health Centre II,Adjumani,HC II,,
34 East Moyo HSD Openzinzi Health Centre III,Adjumani,HC II,,
35 East Moyo HSD Pachara Health Centre II,Adjumani,HC II,,
36 East Moyo HSD Pakele Health Centre III,Adjumani,HC II,,
37 East Moyo HSD Robidire Health Centre III,Adjumani,HC II,,
38 East Moyo HSD Uderu Health Centre II,Adjumani,HC II,,
39 East Moyo HSD Ukusijoni Health Centre III,Adjumani,HC II,,
40 East Moyo HSD Zoka Health Centre II,Adjumani,HC II,,
Abilonino Health Centre II,Agago,HC II,,
Acholpii Health Centre III,Agago,HC II,,
Acuru Health Centre II,Agago,HC II,,
Adilang Health Centre III,Agago,HC II,,
Alop Health Centre II,Agago,HC II,,
Amyel Health Centre II,Agago,HC II,,
Geregere Health Centre II,Agago,HC II,,
Kabala Health Centre II,Agago,HC II,,
Kalongo Ambrosoli Memerial General,Agago,Hospital,,
Kokil Health Centre II,Agago,HC II,,
Kotomor Health Centre III,Agago,HC II,,
Kuywee Health Centre II,Agago,HC II,,
Kwonkic Health Centre II,Agago,HC II,,
Lamiyo Health Centre II,Agago,HC II,,
Lanyirinyiri Health Centre II,Agago,HC II,,
Lapirin Health Centre III,Agago,HC II,,
Layita Health Centre II,Agago,HC II,,
Ligiligi Health Centre II,Agago,HC II,,
Lira Kaket Health Centre II,Agago,HC II,,
Lira Kato Health Centre III,Agago,HC II,,
Lira Palwo Health Centre III,Agago,HC II,,
Lukole Health Centre III,Agago,HC II,,
Obolokome (Agago) Health Centre II,Agago,HC II,,
Odokomit Health Centre II,Agago,HC II,,
Ogwang Kamolo Health Centre II,Agago,HC II,,
Okwadoko Health Centre II,Agago,HC II,,
Olung Health Centre II,Agago,HC II,,
Omiya Pacwa Health Centre II,Agago,HC II,,
Omot Health Centre II,Agago,HC II,,
Ongalo Health Centre II,Agago,HC II,,
Onudapet Health Centre II,Agago,HC II,,
Orina Health Centre II,Agago,HC II,,
Otumpili Health Centre II,Agago,HC II,,
Pacer Health Centre II,Agago,HC II,,
Paimol Health Centre III,Agago,HC II,,
Pakor Health Centre II,Agago,HC II,,
Patongo Health Centre III,Agago,HC II,,
