facility_name,district,level,latitude,longitude,gps_source
998 Kagoma County Buwenge Town Council,Jinja,Hospital,0.6475131,33.1724659,OSM (match: 67%)
2102 Luuka County Luuka Town Council,Luuka,Hospital,,,Not found in OSM
3130 Pallisa County Pallisa Town Council,Pallisa,Hospital,1.1761322,33.7110114,OSM (match: 84%)
Abim General,Abim,Hospital,2.6279242,33.6662233,OSM (match: 120%)
1 East Moyo HSD Adjumani General,Adjumani,Hospital,3.3740875,31.7929480,OSM (match: 82%)
Kalongo Ambrosoli Memerial General,Agago,Hospital,,,Not found in OSM
Amai Community General,Amolatar,Hospital,1.7904898,32.9206295,OSM (match: 100%)
Amudat General,Amudat,Hospital,1.9535229,34.9433128,OSM (match: 120%)
Apac General,Apac,Hospital,1.9788137,32.5334603,OSM (match: 120%)
Nightingale General,Apac,Hospital,1.9788137,32.5334603,OSM (match: 100%)
10Arua Municipality HSD Arua (Arua RR,Arua,Hospital,3.0199724,30.9138891,OSM (match: 104%)
15 Arua Municipality HSD Arua Regional Referral,Arua,Hospital,3.0199724,30.9138891,OSM (match: 110%)
32 Vurra And Upper Madi HSD Kuluva General,Arua,Hospital,2.9463677,30.9328159,OSM (match: 100%)
Oriajini General,Arua,Hospital,3.0993814,30.9679144,OSM (match: 120%)
67 Arua Municipality HSD Pioneer General,Arua,Hospital,3.0199724,30.9138891,OSM (match: 85%)
Rhema General,Arua,Hospital,3.0199724,30.9138891,OSM (match: 100%)
River Side Medical Research Center General,Budaka,Hospital,1.0173769,33.9528821,OSM (match: 100%)
Bududa General,Bududa,Hospital,1.0090804,34.3328108,OSM (match: 120%)
4 Bukooli North HSD Bugiri General,Bugiri,Hospital,0.5733855,33.7427230,OSM (match: 66%)
Tumu General,Buhweju,Hospital,-0.1304335,30.4482107,OSM (match: 100%)
8 Buikwe South HSD Buikwe St. Charles Lwanga General,Buikwe,Hospital,0.3392858,33.0320706,OSM (match: 99%)
27 Buikwe West HSD Kawolo General,Buikwe,Hospital,0.3392858,33.0320706,OSM (match: 71%)
38 Buikwe West HSD Lugazi Scoul General,Buikwe,Hospital,0.3392858,33.0320706,OSM (match: 73%)
48 Buikwe South HSD Nkokonjeru General,Buikwe,Hospital,0.3392858,33.0320706,OSM (match: 70%)
54 Buikwe North HSD St. Francis Nyenga General,Buikwe,Hospital,0.3392858,33.0320706,OSM (match: 81%)
Bukwo General General,Bukwo,Hospital,1.9535229,34.9433128,OSM (match: 120%)
Buliisa General,Buliisa,Hospital,2.0576675,31.4357195,OSM (match: 120%)
Bundibugyo General,Bundibugyo,Hospital,0.7029469,30.0638041,OSM (match: 120%)
10 Igara West HSD Comboni General,Bushenyi,Hospital,,,Not found in OSM
12 Bushenyi Ishaka Municipality HSD Ishaka Adventist General,Bushenyi,Hospital,-0.5440146,30.1380671,OSM (match: 67%)
24 Bushenyi Ishaka Municipality HSD KIU Teaching General,Bushenyi,Hospital,-0.5410605,30.2001700,OSM (match: 64%)
13 Samia Bugwe North HSD Dabani General,Busia,Hospital,,,Not found in OSM
23 Samia Bugwe South HSD Masafu General,Busia,Hospital,,,Not found in OSM
Busolwe General,Butaleja,Hospital,0.9217942,34.1599841,OSM (match: 100%)
Kabasa Memorial General,Butaleja,Hospital,0.9552771,34.0326555,OSM (match: 100%)
Gombe (Butambala) General,Butambala,Hospital,,,Not found in OSM
16 Gulu Municipality HSD Gulu (Gulu RR,Gulu,Hospital,2.7801442,32.2805949,OSM (match: 61%)
17 Gulu Municipality HSD Gulu Independent General,Gulu,Hospital,2.7773374,32.2985660,OSM (match: 106%)
19 Gulu Municipality HSD Gulu Military General,Gulu,Hospital,2.7801442,32.2805949,OSM (match: 96%)
22 Gulu Municipality HSD Gulu Regional Referral,Gulu,Hospital,2.7773374,32.2985660,OSM (match: 110%)
58 Gulu Municipality HSD St.Mary’s Lacor General,Gulu,Hospital,2.7744531,32.2991146,OSM (match: 80%)
25 Hoima Municipality HSD Hoima Regional Referral,Hoima,Hospital,1.4285764,31.3548798,OSM (match: 108%)
15 Ibanda Municipality HSD Ibanda General,Ibanda,Hospital,-0.1301105,30.4481182,OSM (match: 85%)
21 Kigulu South HSD Iganga General,Iganga,Hospital,0.6155022,33.4853947,OSM (match: 68%)
65 Kigulu South HSD New Hope General,Iganga,Hospital,,,Not found in OSM
2 Jinja Municipality West HSD Al-Shafa Medical Centre General,Jinja,Hospital,0.4587162,33.2175579,OSM (match: 74%)
Almeca Medicare General,Jinja,Hospital,0.4380433,33.2114178,OSM (match: 100%)
Buwenge General,Jinja,Hospital,0.6475131,33.1724659,OSM (match: 100%)
Buwenge NGO General,Jinja,Hospital,0.6475131,33.1724659,OSM (match: 78%)
36 Jinja Municipality West HSD Jinja Regional Referral,Jinja,Hospital,0.4380498,33.2020973,OSM (match: 101%)
Kakira Sugar General,Jinja,Hospital,0.5092963,33.2946490,OSM (match: 100%)
1 Dodoth East HSD Kaabong General,Kaabong,Hospital,3.5120670,34.1319923,OSM (match: 74%)
15 Kabale Municipality HSD Kabale Regional Referral,Kabale,Hospital,-1.2502061,29.9891117,OSM (match: 107%)
84 Kabale Municipality HSD Rugarama General,Kabale,Hospital,-1.2502061,29.9891117,OSM (match: 87%)
8 Fortportal Municipality HSD Fort Portal Regional Referral,Kabarole,Hospital,0.6559732,30.2812868,OSM (match: 84%)
12 Fortportal Municipality HSD Kabarole COU General,Kabarole,Hospital,0.6495430,30.2724657,OSM (match: 89%)
Kida General,Kabarole,Hospital,-1.0170576,30.1883053,OSM (match: 73%)
75 Fortportal Municipality HSD Virika General,Kabarole,Hospital,0.6559732,30.2812868,OSM (match: 61%)
Lwala General,Kaberamaido,Hospital,1.8594472,33.2783378,OSM (match: 100%)
Kagadi General,Kagadi,Hospital,0.9426621,30.8090036,OSM (match: 120%)
33 Kalungu West HSD Villa Maria General,Kalungu,Hospital,-0.2270646,31.7352040,OSM (match: 63%)
153 Nakawa Division HSD Butabika National Referral,Kampala,Hospital,0.3158703,32.6579040,OSM (match: 88%)
172 Central Division HSD Case Medical Centre General,Kampala,Hospital,0.3246920,32.5752403,OSM (match: 75%)
382 Rubaga Division HSD Galilee Community General,Kampala,Hospital,0.3316732,32.5358414,OSM (match: 83%)
530 Makindye Division HSD International,Kampala,Hospital,0.3051484,32.6106013,OSM (match: 80%)
618 Central Division HSD Kampala General,Kampala,Hospital,0.3051484,32.6106013,OSM (match: 92%)
623 Nakawa Division HSD Kampala Independent General,Kampala,Hospital,0.3588591,32.6164676,OSM (match: 104%)
648 Kawempe Division HSD Kawempe Regional Referral,Kampala,Hospital,0.3619812,32.5617955,OSM (match: 86%)
667 Makindye Division HSD Kibuli Muslim General,Kampala,Hospital,0.3149691,32.5742616,OSM (match: 74%)
682 Makindye Division HSD Kiruddu Regional Referral,Kampala,Hospital,0.2480910,32.6125945,OSM (match: 85%)
721 Central Division HSD Kololo General,Kampala,Hospital,0.3051484,32.6106013,OSM (match: 66%)
783 Rubaga Division HSD Lubaga General,Kampala,Hospital,0.3052671,32.5523740,OSM (match: 63%)
813 Central Division HSD Makerere University General,Kampala,Hospital,0.3277107,32.5708615,OSM (match: 83%)
881 Rubaga Division HSD Mengo General,Kampala,Hospital,0.3052671,32.5523740,OSM (match: 67%)
900Nakawa Division HSD Middle East,Kampala,Hospital,0.3522682,32.5587499,OSM (match: 76%)
953 Makindye Division HSD Mukwaya General,Kampala,Hospital,0.3001997,32.5951909,OSM (match: 61%)
955 Kawempe Division HSD Mulago National Referral,Kampala,Hospital,0.3389522,32.5768538,OSM (match: 86%)
968 Nakawa Division HSD Murchision Bay General,Kampala,Hospital,0.2996882,32.6363637,OSM (match: 80%)
991 Central Division HSD Nakasero General,Kampala,Hospital,0.3268891,32.5794746,OSM (match: 67%)
1036 Central Division HSD Norvick General,Kampala,Hospital,1.0763572,34.1766088,OSM (match: 64%)
1050 Central Division HSD Old Kampala General,Kampala,Hospital,0.3166023,32.5683693,OSM (match: 93%)
1065 Nakawa Division HSD Paragon General,Kampala,Hospital,0.3249455,32.5752362,OSM (match: 68%)
1321 Central Division HSD St. Catherine’s General,Kampala,Hospital,0.3145762,32.5761720,OSM (match: 74%)
1323 Makindye Division HSD St. Francis Nsambya General,Kampala,Hospital,0.2996663,32.5864522,OSM (match: 81%)
1443 Nakawa Division HSD Victoria General,Kampala,Hospital,0.3502758,32.6032024,OSM (match: 70%)
1474Nakawa Division HSD Womens,Kampala,Hospital,0.3677607,32.5785325,OSM (match: 63%)
24 Bugabula North HSD Kamuli General,Kamuli,Hospital,0.9473191,33.1211263,OSM (match: 64%)
26 Bugabula North HSD Kamuli Mission General,Kamuli,Hospital,0.9360386,33.1305866,OSM (match: 85%)
10 Kinkizi West HSD Bwindi Community General,Kanungu,Hospital,-1.1566685,29.9809336,OSM (match: 71%)
14 Kinkizi East HSD Kambuga General,Kanungu,Hospital,,,Not found in OSM
Kapchorwa General,Kanungu,Hospital,1.4036000,34.4422053,OSM (match: 100%)
14 Bukonzo West HSD Bwera General,Kasese,Hospital,,,Not found in OSM
31 Bukonzo East HSD Kagando General,Kasese,Hospital,,,Not found in OSM
Katakwi General,Katakwi,Hospital,1.9178286,33.9618486,OSM (match: 120%)
60 Kasese Municipality HSD Kilembe General,Katakwi,Hospital,0.1947882,30.0147480,OSM (match: 67%)
22 Ntenjeru North HSD Kayunga General,Kayunga,Hospital,0.7036437,32.9036681,OSM (match: 68%)
Kiboga General,Kiboga,Hospital,0.9112265,31.7764903,OSM (match: 120%)
Rushere Community General,Kiruhura,Hospital,-0.2103331,30.9479367,OSM (match: 100%)
Kiryandongo General,Kiryandongo,Hospital,1.8791900,32.0618093,OSM (match: 120%)
25 Bufumbira South HSD Kisoro General,Kisoro,Hospital,-1.2831654,29.6372308,OSM (match: 63%)
32 Bufumbira East HSD Mutolere General,Kisoro,Hospital,-1.2623867,29.7213486,OSM (match: 72%)
8 Kitgum Municipality HSD Kitgum General,Kitgum,Hospital,3.2945753,32.8816635,OSM (match: 83%)
32 Kitgum Municipality HSD St. Joseph’s General,Kitgum,Hospital,3.2915115,32.8742106,OSM (match: 71%)
Koboko General,Koboko,Hospital,3.4092643,30.9597404,OSM (match: 120%)
Atutur General,Kumi,Hospital,1.4095740,33.9908589,OSM (match: 100%)
Kumi General,Kumi,Hospital,1.5275543,33.9762470,OSM (match: 120%)
Kumi Orthopaedic General,Kumi,Hospital,1.5275543,33.9762470,OSM (match: 120%)
25 Mwenge North (Kyarusozi) HSD Kyenjojo General,Kyenjojo,Hospital,,,Not found in OSM
